ASIA AVIATION - TOT RETURN IND,ADVANCED INFO SER. - TOT RETURN IND,AIRPORTS OF THAILAND - TOT RETURN IND,ASIAN SEA CORPORATION - TOT RETURN IND,ASIA SERMKIJ LEASING - TOT RETURN IND,BGK.AVIATION FUEL SVS. - TOT RETURN IND,BANK OF AYUDHYA - TOT RETURN IND,BANGKOK BANK - TOT RETURN IND,BANGCHAK CORPORATION ORS - TOT RETURN IND,BANGKOK DUSIT MED.SVS. - TOT RETURN IND,BANGKOK EXPRESSWAY AND METRO - TOT RETURN IND,BANGKOK INSURANCE - TOT RETURN IND,BANGKOK LIFE ASSURANCE - TOT RETURN IND
87190C(RI),314926(RI),28530Q(RI),140261(RI),31572P(RI),15382P(RI),749549(RI),933079(RI),140346(RI),314898(RI),8836T4(RI),755194(RI),68032M(RI)
123.78,11659.15,227.48,172.24,466.04,356.58,512.47,1627.77,91.58,7435.6,,5008.79,291.8
121.62,11334.46,228.17,173.13,471.31,356.58,516.78,1623.17,91.58,7470.51,,5083.82,291.8
121.62,10980.26,229.56,175.81,484.47,356.58,516.78,1650.76,92.45,7470.51,,5196.38,293.52
121.08,11186.88,228.86,176.7,479.21,356.58,508.16,1636.96,93.32,7470.51,,5233.9,296.98
125.95,11393.5,226.78,173.13,484.47,358.73,503.86,1623.17,92.45,7435.6,,5290.18,295.25
127.03,11098.33,227.48,175.81,489.74,365.17,503.86,1618.57,92.45,7435.6,,5215.14,293.52
125.95,11039.3,233.72,173.13,492.37,373.76,495.24,1604.77,93.32,7365.78,,5215.14,288.34
127.57,11068.81,235.11,171.35,497.64,363.02,490.94,1609.37,95.07,7400.69,,5196.38,286.62
127.03,11157.36,235.8,171.35,500.27,365.17,495.24,1641.56,95.94,7435.6,,5102.58,298.7
124.32,11334.46,231.64,169.56,502.9,367.32,495.24,1627.77,93.32,7330.87,,5065.06,302.16
120,11157.36,234.41,165.99,481.84,367.32,516.78,1604.77,93.32,7365.78,,5083.82,303.88
116.22,11511.57,235.8,158.85,492.37,367.32,512.47,1600.18,92.45,7435.6,,5065.06,303.88
116.76,11629.63,239.27,165.99,497.64,371.62,508.16,1618.57,93.32,7575.23,,5102.58,305.61
115.68,11688.67,242.04,166.89,481.84,373.76,525.39,1618.57,95.07,7575.23,,5158.86,310.79
113.51,11304.95,238.57,165.99,473.94,367.32,512.47,1613.97,96.81,7575.23,,5140.1,305.61
114.05,11570.6,237.88,164.21,468.67,367.32,512.47,1618.57,99.43,7540.32,,5196.38,303.88
118.38,11688.67,241.35,165.1,481.84,373.76,512.47,1636.96,97.68,7540.32,,5172.93,303.88
116.76,11718.18,250.36,160.64,481.84,373.76,512.47,1641.56,95.94,7470.51,,5172.93,309.06
121.62,11629.63,251.06,160.64,492.37,371.62,525.39,1650.76,99.43,7505.41,,5153.98,312.52
121.62,11983.84,250.36,162.42,497.64,373.76,516.78,1655.35,97.68,7540.32,,5153.98,314.24
125.95,12219.97,251.06,163.32,500.27,375.91,512.47,1659.95,101.17,7540.32,,5153.98,326.33
126.49,12338.04,257.99,165.1,495,380.21,521.08,1673.75,100.3,7645.05,,5210.83,340.14
